Name,Cordinates
Agripada Police Station,"(18.920018, 72.866922)"
Antop Hill Police Station,"(19.031752, 72.863912)"
Azad Maidan Police Station,"(18.941537, 72.833223)"
Bhoiwada Police Station,"(18.955905, 18.955905)"
Byculla Police Station,"(18.973609, 72.834016)"
Colaba Police Station,"(18.922337, 72.831151)"
Cuffe Parade Police Station,"(19.031752, 72.863912)"
Dadar Police Station,"(19.087234, 72.865295)"
Dharavi Police Station,"(19.04025, 72.85518)"
Dongri Police Station,"(18.962199, 72.839015)"
Dr DB Marg Police Station,"(18.949914, 72.839643)"
Gamdevi Police Station,"(18.960471, 72.812381)"
Kalachowki Police Station,"(18.928152, 72.858146)"
LT MargPolice Station,"(18.945324, 72.830504)"
Mahim Police Station,"(19.04203, 72.83913)"
Malabar Hill Police station,"(18.949336, 72.79928)"
Marine Drive Police Station,"(18.930098, 72.824737)"
Matunga Police Station,"(72.85736, 19.033857)"
MRA Marg Police Station,"(18.945938, 72.83524)"
Nagpada Police Station,"(18.967015, 72.829227)"
NM Joshi Marg Police Station,"(18.784312, 72.907639)"
Pydhonie Police Station,"(18.970537, 72.899291)"
Rafi Ahmed Kidwai Marg Police Station,"(18.995665, 72.8488)"
Sewree Police Station,"(18.977678, 72.849006)"
Shahu Nagar Police Station,"(19.015061, 72.842817)"
Shivaji Park Police Station,"(19.092719, 72.841593)"
Sion Police Station,"(19.316343, 72.41701)"
Sir JJ Marg Police Station,"(18.660191, 72.288982)"
Tardeo Police Station,"(18.969543, 72.814113)"
VP Road Police Station,"(18.955815, 72.823742)"
Wadala Police Station,"(19.011546, 72.878579)"
Wadala Truck Terminal Police Station,"(19.03318, 72.8753)"
Worli Police Station,"(19.005079, 72.817381)"
Yellow Gate Police Station,"(18.946864, 72.897944)"
Aarey Police Station,"(19.16272, 72.871802)"
Airport Police Station,"(19.094722, 72.873544)"
Amboli Police Station,"(19.1276, 72.84729)"
Andheri Police Station,"(19.120412481, 72.8485509369)"
BKC Police Station,"(19.0644654, 72.8603569)"
Bandra Police Station,"(19.055478730496, 72.835719437386)"
Bangur Nagar Police Station,"(19.165588, 72.834834)"
Bhandup Police Station,"(19.150763, 72.937616)"
Borivali Police Station,"(19.288807, 72.834248)"
Charkop Police Station,"(19.214594, 72.820637)"
Chembur Police Station,"(19.09944, 72.834282)"
Chunabhatti Police Station,"(19.079733, 72.815795)"
D. N. Nagar Police Station,"(19.122075446861, 72.829948479072)"
Dahisar Police Station,"(19.234085, 72.812788)"
Deonar Police Station,"(19.058951, 72.916879)"
Dindoshi Police Station,"(19.181025767294, 72.858422157602)"
Ghatkopar Police Station,"(19.010733, 72.934745)"
Gorai Police Station,"(19.285668, 72.848803)"
Goregaon West Police Station,"(19.1573817, 72.8456309)"
Govandi Police Station," (19.022626, 72.939082)"
Jogeshwari Police Station,"(19.121976, 72.790481)"
Juhu Police Station,"(19.649616, 72.86962)"
Kandivali Police Station,"(19.2094538631, 72.8503796867)"
Kanjurmarg Police Station,"(19.547051, 72.912833)"
Kasturba Police Station,"(19.228195, 72.857747)"
Khar Police Station,"(19.456429, 72.855054)"
Kherwadi Police Station,"(19.064484, 72.849283)"
Kurar Police Station,"(19.134373, 72.85917)"
Kurla Police Station,"(19.076154, 72.877341)"
M I D C Police Station,"(19.1107, 72.87867)"
M.H.B. Colony Police Station,"(19.234316, 72.8417654)"
Malad Police Station,"(19.18347, 72.84492)"
Malwani Police Station,"(19.1935758173, 72.8225046154)"
Mankhurd Police Station,"(19.104031, 72.621955)"
Meghwadi Police Station,"(19.141817, 72.200092)"
Mulund Police Station,"(19.1773311, 72.9518664)"
Mumbai Sagari-2 Police Station,"(19.030365, 72.843706)"
Navghar Police Station,"(19.7122, 72.931745)"
Nehru Nagar Police Station,"(19.936817, 72.839809)"
Nirmal Nagar Police Station,"(19.0660036, 72.8447688)"
Oshiwara Police Station,"(19.148462, 72.83289)"
Pant Nagar Police Station,"(19.087197, 72.91632)"
Parksite Police Station,"(19.117638, 72.924131)"
Powai Police Station,"(19.132578, 72.863524)"
R.C.F. Police Station,"(19.0737, 72.9009)"
Sahar Police Station,"(19.09032, 72.86622)"
Sakinaka Police Station,"(19.161873, 72.893909)"
Samta Nagar Police Station,"(19.199909, 72.861583)"
Santacruz Police Station,"(19.083649916, 72.838008198)"
Shivaji Nagar Police Station,"(19.21116, 73.189316)"
Tilak Nagar Police Station,"(19.022016, 72.875112)"
Trombay Police Station,"(19.031151, 72.931595)"
Vakola Police Station,"(19.0807222222, 72.8468755556)"
Vanrai Police Station,"(19.652211, 72.813868)"
Versova Police Station,"(19.124728, 72.830196)"
Vikhroli Police Station,"(19.138044, 72.961547)"
Vileparle Police Station,"(19.05663, 72.822277)"
Vinoba Bhave Nagar Police Station,"(19.025808, 72.845406)"
